dataset,method_config,family,benchmark,k_policy,seeds,mean_ari,std_ari,n_seeds,mean_seconds
151507,agglomerative,sklearn,5x10_dlpfc,oracle,"42,1,2",0.2107,0.0,3,3.33
151507,birch,sklearn,5x10_dlpfc,oracle,"42,1,2",0.1321,0.0,3,3.39
151507,bisecting_kmeans,sklearn,5x10_dlpfc,oracle,"42,1,2",0.2504,0.0037,3,3.17
151507,dbscan,sklearn,5x10_dlpfc,oracle,"42,1,2",0.0,0.0,3,3.21
151507,gaussian_mixture,sklearn,5x10_dlpfc,oracle,"42,1,2",0.2228,0.0232,3,3.47
151507,kmeans,sklearn,5x10_dlpfc,oracle,"42,1,2",0.2402,0.0447,3,3.24
151507,mean_shift,sklearn,5x10_dlpfc,oracle,"42,1,2",0.0117,0.0,3,12.83
151507,minibatch_kmeans,sklearn,5x10_dlpfc,oracle,"42,1,2",0.2372,0.0469,3,3.1
151507,optics,sklearn,5x10_dlpfc,oracle,"42,1,2",-0.0004,0.0,3,5.51
151507,spectral,sklearn,5x10_dlpfc,oracle,"42,1,2",0.2002,0.0002,3,4.73
151507,spagcn (est-K:ensemble),sota,non_oracle_k_sota,estimate,42,0.2172,0.0,1,18.59
151507,spagcn (est-K:silhouette),sota,non_oracle_k_sota,estimate,42,0.2479,0.0,1,20.72
151507,spagcn (est-K:spatial_sil),sota,non_oracle_k_sota,estimate,42,0.2172,0.0,1,17.39
151507,spagcn (oracle-K),sota,non_oracle_k_sota,oracle,42,0.3846,0.0,1,11.14
151507,stagate (est-K:ensemble),sota,non_oracle_k_sota,estimate,42,0.2171,0.0,1,51.58
151507,stagate (est-K:silhouette),sota,non_oracle_k_sota,estimate,42,0.2439,0.0,1,52.99
151507,stagate (est-K:spatial_sil),sota,non_oracle_k_sota,estimate,42,0.2171,0.0,1,56.65
151507,stagate (oracle-K),sota,non_oracle_k_sota,oracle,42,0.3826,0.0,1,55.77
151507,agglomerative@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.0797,0.0,3,5.43
151507,agglomerative@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2107,0.0,3,6.25
151507,agglomerative@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2158,0.0,3,6.27
151507,birch@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.0459,0.0,3,5.78
151507,birch@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1321,0.0,3,6.66
151507,birch@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2514,0.0,3,6.6
151507,gaussian_mixture@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1308,0.0241,3,5.79
151507,gaussian_mixture@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2228,0.0232,3,6.73
151507,gaussian_mixture@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2627,0.0185,3,6.73
