category,method,n_cells,n_genes,density,wall_seconds,peak_rss_mb,throughput_cells_per_s,status,error,version
qc,basic_qc,1000,2000,0.05,0.074,4072.33,13512.6,ok,,0.1.0
qc,basic_qc,10000,2000,0.05,0.2474,4337.45,40421.69,ok,,0.1.0
qc,basic_qc,100000,2000,0.05,3.9555,6953.71,25281.05,ok,,0.1.0
qc,basic_qc,500000,2000,0.05,18.7588,18727.9,26654.11,ok,,0.1.0
qc,basic_qc,1000000,2000,0.05,40.7404,32941.73,24545.67,ok,,0.1.0
qc,gene_complexity_qc,1000,2000,0.05,0.0728,4095.66,13742.44,ok,,1.0.0
qc,gene_complexity_qc,10000,2000,0.05,0.2816,4441.59,35505.51,ok,,1.0.0
qc,gene_complexity_qc,100000,2000,0.05,3.2536,7844.69,30735.18,ok,,1.0.0
qc,gene_complexity_qc,500000,2000,0.05,22.8361,23132.09,21895.14,ok,,1.0.0
qc,gene_complexity_qc,1000000,2000,0.05,49.2998,41775.34,20284.05,ok,,1.0.0
qc,library_size_qc,1000,2000,0.05,0.0684,4100.12,14614.6,ok,,1.0.0
qc,library_size_qc,10000,2000,0.05,0.2592,4402.75,38573.93,ok,,1.0.0
qc,library_size_qc,100000,2000,0.05,3.1428,7853.14,31819.03,ok,,1.0.0
qc,library_size_qc,500000,2000,0.05,18.7245,23143.77,26702.99,ok,,1.0.0
qc,library_size_qc,1000000,2000,0.05,43.2612,41762.65,23115.42,ok,,1.0.0
qc,mitochondrial_qc,1000,2000,0.05,0.0675,4086.38,14803.96,ok,,1.0.0
qc,mitochondrial_qc,10000,2000,0.05,0.2687,4424.33,37213.58,ok,,1.0.0
qc,mitochondrial_qc,100000,2000,0.05,2.3715,7859.67,42167.28,ok,,1.0.0
qc,mitochondrial_qc,500000,2000,0.05,20.0364,23152.91,24954.57,ok,,1.0.0
qc,mitochondrial_qc,1000000,2000,0.05,43.7294,41774.61,22867.93,ok,,1.0.0
normalization,arcsinh_transform,1000,2000,0.05,0.0783,4113.55,12778.94,ok,,1.0.0
normalization,arcsinh_transform,10000,2000,0.05,0.3888,4704.65,25720.2,ok,,1.0.0
normalization,arcsinh_transform,100000,2000,0.05,4.4856,10839.61,22293.68,ok,,1.0.0
normalization,arcsinh_transform,500000,2000,0.05,31.1541,38106.33,16049.24,ok,,1.0.0
normalization,arcsinh_transform,1000000,2000,0.05,,58035.71,,oom,peak RSS exceeded 58.0 GB cap,
normalization,clr_per_cell,1000,2000,0.05,0.0766,4126.12,13053.16,ok,,1.0.0
